temp,humidity,predicted_disease
34.5,38.8,Bacterial Blight
31,44.8,Bacterial Blight
32,46.8,Bacterial Blight
32.9,46.7,Bacterial Blight
34.8,42.7,Bacterial Blight
30.2,76.1,Bacterial Blight
30,72,Bacterial Blight
31.5,73.2,Bacterial Blight
32.9,70.8,Bacterial Blight
32.4,73.7,Bacterial Blight
30.3,76.7,Bacterial Blight
30,78.1,Bacterial Blight
30.3,76.2,Bacterial Blight
31,75.6,Bacterial Blight
30.2,71.8,Bacterial Blight
30.6,74.5,Bacterial Blight
31.5,70.4,Bacterial Blight
31.2,71.7,Bacterial Blight
31.8,71.3,Bacterial Blight
30.7,74,Bacterial Blight
30.4,73.5,Bacterial Blight
32,74.2,Bacterial Blight
32.6,72.4,Bacterial Blight
31.8,71.6,Bacterial Blight
30.6,70.5,Bacterial Blight
30.6,72,Bacterial Blight
30.6,73.6,Bacterial Blight
31.2,73.6,Bacterial Blight
30.5,72.1,Bacterial Blight
30.5,72.8,Bacterial Blight
30.5,74.7,Bacterial Blight
30.3,74.2,Bacterial Blight
30.4,73.9,Bacterial Blight
30,73.7,Bacterial Blight
30.3,43.9,Bacterial Blight
30.5,42.2,Bacterial Blight
30.4,44.1,Bacterial Blight
30.6,40.5,Bacterial Blight
31.1,39.4,Bacterial Blight
30.6,39,Bacterial Blight
31.3,32.4,Bacterial Blight
31.1,32,Bacterial Blight
31.7,35.8,Bacterial Blight
33,36.6,Bacterial Blight
33.9,27.6,Bacterial Blight
33.5,34.3,Bacterial Blight
33.4,33,Bacterial Blight
33,43.4,Bacterial Blight
30.8,44.8,Bacterial Blight
30.9,38.5,Bacterial Blight
32.5,40.9,Bacterial Blight
32.2,41,Bacterial Blight
32.2,39.5,Bacterial Blight
33.5,42.2,Bacterial Blight
34.3,39.8,Bacterial Blight
34.2,29.7,Bacterial Blight
34.4,26,Bacterial Blight
33.6,28.3,Bacterial Blight
32.8,31.5,Bacterial Blight
33.8,33,Bacterial Blight
34.2,25.8,Bacterial Blight
33.1,27.4,Bacterial Blight
32.7,26.9,Bacterial Blight
31.1,47.9,Bacterial Blight
33.2,45.2,Bacterial Blight
32.9,39.1,Bacterial Blight
32,41.2,Bacterial Blight
31.9,37.1,Bacterial Blight
34.1,28.1,Bacterial Blight
34.3,27.8,Bacterial Blight
34.6,24.9,Bacterial Blight
34.8,31.9,Bacterial Blight
34.8,31.6,Bacterial Blight
31.8,49.7,Bacterial Blight
30.9,49.1,Bacterial Blight
33.4,47.5,Bacterial Blight
34,49.1,Bacterial Blight
30.6,71,Bacterial Blight
31.2,70.4,Bacterial Blight
30.8,73.1,Bacterial Blight
31.7,71.2,Bacterial Blight
31.4,73.1,Bacterial Blight
31.9,72.2,Bacterial Blight
31.5,70.7,Bacterial Blight
30.2,75.7,Bacterial Blight
30.6,77.7,Bacterial Blight
30.8,70.8,Bacterial Blight
31.8,74.7,Bacterial Blight
31.6,71.1,Bacterial Blight
30.7,76.1,Bacterial Blight
31.6,71.7,Bacterial Blight
31.3,72.5,Bacterial Blight
32,71.7,Bacterial Blight
32.4,74.6,Bacterial Blight
30.5,73.5,Bacterial Blight
31.7,74.8,Bacterial Blight
31.5,74.6,Bacterial Blight
30.4,70.2,Bacterial Blight
30.7,72.2,Bacterial Blight
30.6,74.1,Bacterial Blight
30.2,74,Bacterial Blight
31,70.9,Bacterial Blight
30.7,73,Bacterial Blight
31.6,71.8,Bacterial Blight
30.8,72.7,Bacterial Blight
30.4,73.1,Bacterial Blight
30,75.2,Bacterial Blight
31.5,71.6,Bacterial Blight
30,74,Bacterial Blight
30.3,73.8,Bacterial Blight
30.1,73.6,Bacterial Blight
30.1,73.7,Bacterial Blight
29.9,73.8,Powdery mildew
28.3,74.9,Powdery mildew
29.8,75.1,Powdery mildew
27.9,77.5,Powdery mildew
29.4,78.7,Powdery mildew
29.3,79,Powdery mildew
29.9,76.4,Powdery mildew
29.8,78.6,Powdery mildew
29.8,78.7,Powdery mildew
29,75.3,Powdery mildew
28.6,78.9,Powdery mildew
28.5,79.9,Powdery mildew
28.8,78.6,Powdery mildew
28.9,77.5,Powdery mildew
29,75.9,Powdery mildew
29.2,78.2,Powdery mildew
29.2,72.2,Powdery mildew
28.6,78.2,Powdery mildew
29.6,72.5,Powdery mildew
26.3,73.5,Powdery mildew
26.4,73.5,Powdery mildew
25.4,72.9,Powdery mildew
25.8,79.2,Powdery mildew
26.1,77.5,Powdery mildew
26.4,74.9,Powdery mildew
24.4,64.5,Powdery mildew
26.1,73.2,Powdery mildew
24.8,67.7,Powdery mildew
24.9,64,Powdery mildew
26.6,77.3,Powdery mildew
27,76.6,Powdery mildew
28.1,72.8,Powdery mildew
23.8,60.4,Powdery mildew
23.7,62,Powdery mildew
23.2,64.6,Powdery mildew
23.8,61.3,Powdery mildew
25,75.6,Powdery mildew
28.1,76.2,Powdery mildew
29.5,73.5,Powdery mildew
28.6,71.5,Powdery mildew
28.1,73.7,Powdery mildew
28.8,74.2,Powdery mildew
28.3,70.9,Powdery mildew
28.8,71.1,Powdery mildew
29.1,70.7,Powdery mildew
29.1,73.6,Powdery mildew
29,75.2,Powdery mildew
29.2,74.1,Powdery mildew
29.6,72,Powdery mildew
29.9,72.2,Powdery mildew
29.9,72.4,Powdery mildew
29.5,70.6,Powdery mildew
29.8,79.1,Powdery mildew
29.8,73.8,Powdery mildew
28.7,79.1,Powdery mildew
28.8,79.6,Powdery mildew
28.8,78.4,Powdery mildew
28.8,76.6,Powdery mildew
29,77.4,Powdery mildew
28.5,79.9,Powdery mildew
28.4,79.7,Powdery mildew
29.5,78.7,Powdery mildew
29.9,75.5,Powdery mildew
29.8,72.2,Powdery mildew
28.8,74.6,Powdery mildew
28.7,71.5,Powdery mildew
29.2,70.7,Powdery mildew
28.3,70,Powdery mildew
28.2,70.8,Powdery mildew
28.5,71.5,Powdery mildew
29.8,70.8,Powdery mildew
29.1,76.1,Powdery mildew
29.8,70.3,Powdery mildew
29.1,78.4,Powdery mildew
23.4,79.5,Powdery mildew
26.5,78.1,Powdery mildew
26.9,70.2,Powdery mildew
25.2,70.6,Powdery mildew
25.3,72.1,Powdery mildew
24.8,63.6,Powdery mildew
24.1,73.5,Powdery mildew
24.2,74.7,Powdery mildew
24.6,72.7,Powdery mildew
